EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,COMMISSION_PCT,MANAGER_ID,DEPARTMENT_ID
198,Donald,OConnell,DOCONNEL,650.507.9833,20070621,SH_CLERK,2600,,124,50
199,Douglas,Grant,DGRANT,650.507.9844,20080113,SH_CLERK,2600,,124,50
200,Jennifer,Whalen,JWHALEN,515.123.4444,20030917,AD_ASST,4400,,101,10
201,Michael,Hartstein,MHARTSTE,515.123.5555,20040217,MK_MAN,13000,,100,20
202,Pat,Fay,PFAY,603.123.6666,20050817,MK_REP,6000,,201,20
203,Susan,Mavris,SMAVRIS,515.123.7777,20020607,HR_REP,6500,,101,40
204,Hermann,Baer,HBAER,515.123.8888,20020607,PR_REP,10000,,101,70
205,Shelley,Higgins,SHIGGINS,515.123.8080,20020607,AC_MGR,12008,,101,110
206,William,Gietz,WGIETZ,515.123.8181,20020607,AC_ACCOUNT,8300,,205,110
100,Steven,King,SKING,515.123.4567,20030617,AD_PRES,29040,,,90
101,Neena,Kochhar,NKOCHHAR,515.123.4568,20050921,AD_VP,17000,,100,90
102,Lex,De Haan,LDEHAAN,515.123.4569,20010113,AD_VP,17000,,100,90
103,Alexander,Hunold,AHUNOLD,590.423.4567,20060103,IT_PROG,9000,,102,60
104,Bruce,Ernst,BERNST,590.423.4568,20070521,IT_PROG,6000,,103,60
105,David,Austin,DAUSTIN,590.423.4569,20050625,IT_PROG,4800,,103,60
106,Valli,Pataballa,VPATABAL,590.423.4560,20060205,IT_PROG,4800,,103,60
107,Diana,Lorentz,DLORENTZ,590.423.5567,20070207,IT_PROG,4200,,103,60
108,Nancy,Greenberg,NGREENBE,515.124.4569,20020817,FI_MGR,12008,,101,100
109,Daniel,Faviet,DFAVIET,515.124.4169,20020816,FI_ACCOUNT,9000,,108,100
110,John,Chen,JCHEN,515.124.4269,20050928,FI_ACCOUNT,8200,,108,100
111,Ismael,Sciarra,ISCIARRA,515.124.4369,20050930,FI_ACCOUNT,7700,,108,100
112,Jose Manuel,Urman,JMURMAN,515.124.4469,20060307,FI_ACCOUNT,7800,,108,100
113,Luis,Popp,LPOPP,515.124.4567,20071207,FI_ACCOUNT,6900,,108,100
114,Den,Raphaely,DRAPHEAL,515.127.4561,20021207,PU_MAN,11000,,100,30
115,Alexander,Khoo,AKHOO,515.127.4562,20030518,PU_CLERK,3100,,114,30
116,Shelli,Baida,SBAIDA,515.127.4563,20051224,PU_CLERK,2900,,114,30
117,Sigal,Tobias,STOBIAS,515.127.4564,20050724,PU_CLERK,2800,,114,30
118,Guy,Himuro,GHIMURO,515.127.4565,20061115,PU_CLERK,2600,,114,30
119,Karen,Colmenares,KCOLMENA,515.127.4566,20070810,PU_CLERK,2500,,114,30
120,Matthew,Weiss,MWEISS,650.123.1234,20040718,ST_MAN,8000,,100,50
121,Adam,Fripp,AFRIPP,650.123.2234,20050410,ST_MAN,8200,,100,50
122,Payam,Kaufling,PKAUFLIN,650.123.3234,20030501,ST_MAN,7900,,100,50
123,Shanta,Vollman,SVOLLMAN,650.123.4234,20051010,ST_MAN,6500,,100,50
124,Kevin,Mourgos,KMOURGOS,650.123.5234,20071116,ST_MAN,5800,,100,50
125,Julia,Nayer,JNAYER,650.124.1214,20050716,ST_CLERK,3200,,120,50
126,Irene,Mikkilineni,IMIKKILI,650.124.1224,20060928,ST_CLERK,2700,,120,50
127,James,Landry,JLANDRY,650.124.1334,20070114,ST_CLERK,2400,,120,50
128,Steven,Markle,SMARKLE,650.124.1434,20080308,ST_CLERK,2200,,120,50
129,Laura,Bissot,LBISSOT,650.124.5234,20050820,ST_CLERK,3300,,121,50
130,Mozhe,Atkinson,MATKINSO,650.124.6234,20051030,ST_CLERK,2800,,121,50
131,James,Marlow,JAMRLOW,650.124.7234,20050216,ST_CLERK,2500,,121,50
132,TJ,Olson,TJOLSON,650.124.8234,20070410,ST_CLERK,2100,,121,50
133,Jason,Mallin,JMALLIN,650.127.1934,20040614,ST_CLERK,3300,,122,50
134,Michael,Rogers,MROGERS,650.127.1834,20060826,ST_CLERK,2900,,122,50
135,Ki,Gee,KGEE,650.127.1734,20071212,ST_CLERK,2400,,122,50
136,Hazel,Philtanker,HPHILTAN,650.127.1634,20080206,ST_CLERK,2200,,122,50
137,Renske,Ladwig,RLADWIG,650.121.1234,20030714,ST_CLERK,3600,,123,50
